review_text,sentiment
"I absolutely loved this movie",1
"This film was amazing from start to finish",1
"Great acting and a strong story",1
"One of the best movies I have ever seen",1
"The characters were well written and believable",1
"An emotional and powerful experience",1
"The visuals were beautiful and immersive",1
"I really enjoyed watching this",1
"Fantastic performances by the entire cast",1
"A very satisfying and memorable film",1
"This movie exceeded my expectations",1
"Smart writing and great pacing",1
"Highly entertaining and well directed",1
"A brilliant and thoughtful movie",1
"I would definitely watch this again",1
"The story kept me engaged the whole time",1
"It was fun, exciting, and emotional",1
"A truly excellent film",1
"Strong performances and a compelling plot",1
"One of my favorite movies this year",1
"This movie was terrible",0
"I hated this film",0
"A complete waste of time",0
"The acting was bad and unconvincing",0
"The plot made no sense at all",0
"Very boring and slow",0
"I almost fell asleep watching this",0
"Poor writing and lazy directing",0
"One of the worst movies I have seen",0
"I regret watching this movie",0
"The characters were annoying",0
"This film was disappointing",0
"Nothing interesting happened",0
"The ending ruined the whole movie",0
"Awful performances across the board",0
"The story was confusing and dull",0
"Bad acting and terrible dialogue",0
"I would not recommend this to anyone",0
"This movie failed on every level",0
"Extremely boring and poorly made",0

"Absolutely incredible, I was hooked the entire time",1
"Amazing cast, amazing direction, and a great soundtrack",1
"Beautiful cinematography and a story that really works",1
"Funny, heartfelt, and surprisingly smart",1
"An outstanding performance by the lead actor",1
"Well paced and consistently engaging",1
"Great dialogue and strong character development",1
"The ending was satisfying and emotionally earned",1
"Intense, exciting, and very well executed",1
"One of the most enjoyable films I have watched recently",1
"Solid movie, great acting, and a strong script",1
"Wonderful story with memorable moments",1
"Excellent writing and a thoughtful message",1
"Stylish, clever, and genuinely entertaining",1
"A gripping plot that kept me guessing",1
"Warm, charming, and fun to watch",1
"Great movie night pick, I loved it",1
"The music, the visuals, and the pacing were perfect",1
"Really good, I would recommend it to friends",1
"Surprisingly emotional and very well made",1
"Top tier acting and a compelling story",1
"Creative direction and strong performances",1
"Great energy, great humor, and great pacing",1
"Memorable characters and a satisfying arc",1
"An impressive film with a lot of heart",1
"Engaging from the first scene to the last",1
"Smart, funny, and beautifully shot",1
"Great writing, strong cast, and excellent pacing",1
"Enjoyable, uplifting, and worth watching",1
"Excellent, it exceeded my expectations",1
"I liked it a lot, the story was strong",1
"Really solid film with great performances",1
"Very good movie, I had a great time",1
"A great watch, I was entertained throughout",1
"Funny, exciting, and surprisingly touching",1
"A satisfying story with strong emotional payoff",1
"Very well directed, the pacing was great",1
"Great film, great acting, great story",1
"Impressive visuals and an engaging plot",1
"One of the best experiences I have had in a while",1
"Fantastic movie, I would watch it again",1
"Excellent, well written, and well acted",1
"Great cast and a really compelling plot",1
"Strong story, strong acting, and great direction",1
"Beautiful film with a great message",1
"Well made, well paced, and enjoyable",1
"Highly recommended, it was excellent",1
"Great movie, I loved the characters",1
"Really enjoyable and surprisingly good",1
"Fun, clever, and very entertaining",1

"Terrible movie, I want my time back",0
"Bad acting, bad writing, and bad pacing",0
"Confusing plot and weak characters",0
"Boring, predictable, and too long",0
"The dialogue was cringe and the pacing was awful",0
"It tried to be deep, but it was just messy",0
"The story was all over the place",0
"Unlikable characters and pointless scenes",0
"I was disappointed, it was not good",0
"Poorly made and not entertaining",0
"Overhyped and underdelivered",0
"Dragged on forever and went nowhere",0
"Annoying characters and a weak script",0
"Terrible ending that ruined everything",0
"Nothing worked, it was a mess",0
"Awful, I would not recommend it",0
"Painfully boring, I kept checking the time",0
"Bad movie, not worth watching",0
"Flat performances and a boring story",0
"Lazy writing and a predictable plot",0
"The pacing was slow and the story was dull",0
"Felt amateur, poorly directed, and boring",0
"Not funny, not exciting, just bad",0
"Too long, too slow, too boring",0
"Generic plot with no real payoff",0
"Annoying, messy, and badly written",0
"I disliked it, the acting was weak",0
"Terrible, confusing, and frustrating",0
"Bad dialogue, bad pacing, and bad acting",0
"A waste of time, it was awful",0
"Predictable story and uninteresting characters",0
"Disappointing film with no redeeming qualities",0
"Badly written and poorly acted",0
"Pointless scenes and weak storytelling",0
"Overly long and boring throughout",0
"Unwatchable, I turned it off",0
"Awful plot and terrible execution",0
"The story made no sense, and it was boring",0
"I did not like it at all, very disappointing",0
"Poor performances and a weak ending",0
